epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.0846,1.92404,2.63598,1.87478,0.76815,0.77528,0.77788,0.27629,1.9884,2.04537,1.708,0.000657277,0.000657277,0.000657277
2,31.4012,1.78275,1.70387,1.60819,0.71847,0.91011,0.82617,0.38388,1.82152,2.03961,1.55733,0.00131084,0.00131084,0.00131084
3,45.972,1.76211,1.55055,1.58931,0.7359,0.75281,0.83286,0.33618,1.87145,2.84901,1.69312,0.0019512,0.0019512,0.0019512
4,58.5507,1.75411,1.38459,1.55727,0.86223,0.91416,0.9352,0.45174,1.72284,1.99553,1.46429,0.0019406,0.0019406,0.0019406
5,71.5491,1.70346,1.35232,1.54504,0.87127,0.92135,0.94222,0.44787,1.75812,1.39695,1.45769,0.0019208,0.0019208,0.0019208
6,85.0209,1.71482,1.32669,1.53015,0.79098,0.93544,0.83939,0.41121,1.75988,1.56762,1.50755,0.001901,0.001901,0.001901
7,98.3545,1.69613,1.27423,1.54599,0.84602,0.85393,0.92611,0.45452,1.74078,1.47594,1.47199,0.0018812,0.0018812,0.0018812
8,111.992,1.62114,1.17356,1.49095,0.85845,0.95403,0.94343,0.49211,1.66507,1.16229,1.43739,0.0018614,0.0018614,0.0018614
9,124.887,1.63897,1.1378,1.50604,0.89319,0.93258,0.90858,0.44974,1.67899,1.18605,1.42159,0.0018416,0.0018416,0.0018416
10,137.609,1.67072,1.14204,1.50333,0.89443,0.95196,0.94819,0.46886,1.66563,1.22135,1.42954,0.0018218,0.0018218,0.0018218
11,150.418,1.65688,1.1044,1.50546,0.94361,0.95506,0.94672,0.45116,1.75105,1.09765,1.45656,0.001802,0.001802,0.001802
12,162.89,1.64061,1.06922,1.50279,0.87401,0.92135,0.94082,0.46745,1.68459,1.07525,1.41914,0.0017822,0.0017822,0.0017822
13,175.501,1.61865,1.06723,1.4759,0.92647,0.95506,0.95678,0.51678,1.58836,1.02958,1.39919,0.0017624,0.0017624,0.0017624
14,188.365,1.63184,1.06436,1.48307,0.84821,0.94382,0.88565,0.40523,1.77215,1.13491,1.50374,0.0017426,0.0017426,0.0017426
15,200.949,1.60973,1.038,1.45468,0.89583,0.96624,0.92375,0.48299,1.67387,0.93576,1.37663,0.0017228,0.0017228,0.0017228
16,213.438,1.62542,1.02385,1.47584,0.93813,0.94382,0.94615,0.50181,1.65754,0.90847,1.39773,0.001703,0.001703,0.001703
17,226.835,1.5957,1.00533,1.47489,0.88748,0.94382,0.94751,0.47491,1.81483,1.02395,1.46977,0.0016832,0.0016832,0.0016832
18,241.174,1.5695,0.98301,1.43676,0.88607,0.96129,0.91637,0.49937,1.62379,0.86306,1.3781,0.0016634,0.0016634,0.0016634
19,253.598,1.59514,0.97703,1.45453,0.92448,0.96285,0.95582,0.5115,1.65835,0.84697,1.38763,0.0016436,0.0016436,0.0016436
20,266.193,1.55444,0.96102,1.44492,0.897,0.96629,0.97431,0.49975,1.75273,0.89685,1.47964,0.0016238,0.0016238,0.0016238
21,278.55,1.55391,0.94912,1.44507,0.87927,0.94382,0.93669,0.48074,1.65869,1.00047,1.42103,0.001604,0.001604,0.001604
22,291.052,1.57201,0.944,1.46264,0.91287,0.96629,0.9296,0.47261,1.66124,0.85701,1.37536,0.0015842,0.0015842,0.0015842
23,303.669,1.61444,0.93692,1.46566,0.8844,0.96629,0.94202,0.50501,1.66155,0.88516,1.42428,0.0015644,0.0015644,0.0015644
24,316.195,1.52534,0.9307,1.43177,0.90388,0.95506,0.96983,0.50592,1.69124,0.84781,1.47414,0.0015446,0.0015446,0.0015446
25,328.709,1.51465,0.88278,1.43956,0.91393,0.9545,0.93457,0.51799,1.64558,0.82194,1.43916,0.0015248,0.0015248,0.0015248
26,341.187,1.54318,0.87473,1.44472,0.93376,0.95033,0.96266,0.51913,1.70098,0.82268,1.45377,0.001505,0.001505,0.001505
27,353.84,1.51959,0.8991,1.43261,0.89557,0.94382,0.94665,0.52003,1.65627,0.83728,1.42992,0.0014852,0.0014852,0.0014852
28,366.352,1.51401,0.8818,1.42436,0.91086,0.94382,0.9685,0.50503,1.76758,0.87237,1.50021,0.0014654,0.0014654,0.0014654
